variant,scenario,context,segment_id,task_id,start,goal,first_no_path_time,recovered_time,retry_delay_seconds,attempts,route_path,active_fault_edges_at_recovery,root_cause,taxonomy_label
java_retry_tick_2s_max_delay_300s,legacy_offset64_merge32,merge_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_first32,no_fault,18:storage_in,18,0,47,10684.10647,10686,1.89353,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_repair32,repair_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_repair32,repair_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_repair32,repair_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,4,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_repair32,repair_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_repair32,repair_window,84:storage_in,84,4,47,13059.8454,13062,2.1546,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_repair32,repair_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_repair32,repair_window,90:storage_in,90,0,47,13067.93782,13070,2.06218,4,0 6 8 11 14 46 36 38 39 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_repair32,repair_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_merge32,merge_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_merge32,merge_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_merge32,merge_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,4,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_merge32,merge_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_merge32,merge_window,84:storage_in,84,4,47,13059.8454,13062,2.1546,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_merge32,merge_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_merge32,merge_window,90:storage_in,90,0,47,13067.93782,13070,2.06218,4,0 6 8 11 14 46 36 38 39 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_max_delay_900s,legacy_offset64_merge32,merge_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_first32,no_fault,18:storage_in,18,0,47,10684.10647,10686,1.89353,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_repair32,repair_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_repair32,repair_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_repair32,repair_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,4,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_repair32,repair_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_repair32,repair_window,84:storage_in,84,4,47,13059.8454,13062,2.1546,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_repair32,repair_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_repair32,repair_window,90:storage_in,90,0,47,13067.93782,13070,2.06218,4,0 6 8 11 14 46 36 38 39 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_repair32,repair_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_merge32,merge_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_merge32,merge_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_merge32,merge_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,4,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_merge32,merge_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_merge32,merge_window,84:storage_in,84,4,47,13059.8454,13062,2.1546,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_merge32,merge_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_merge32,merge_window,90:storage_in,90,0,47,13067.93782,13070,2.06218,4,0 6 8 11 14 46 36 38 39 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_2s_until_deadline,legacy_offset64_merge32,merge_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_first32,no_fault,18:storage_in,18,0,47,10684.10647,10686.81115,2.70468,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_repair32,repair_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_repair32,repair_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_repair32,repair_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_repair32,repair_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_repair32,repair_window,84:storage_in,84,4,47,13059.8454,13062.51217,2.66677,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_repair32,repair_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_repair32,repair_window,90:storage_in,90,0,47,13067.93782,13070,2.06218,3,0 6 8 11 14 46 36 38 39 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_repair32,repair_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_merge32,merge_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_merge32,merge_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_merge32,merge_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_merge32,merge_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_merge32,merge_window,84:storage_in,84,4,47,13059.8454,13062.51217,2.66677,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_merge32,merge_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_merge32,merge_window,90:storage_in,90,0,47,13067.93782,13070,2.06218,3,0 6 8 11 14 46 36 38 39 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_60s,legacy_offset64_merge32,merge_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_first32,no_fault,18:storage_in,18,0,47,10684.10647,10686.81115,2.70468,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_repair32,repair_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_repair32,repair_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_repair32,repair_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_repair32,repair_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_repair32,repair_window,84:storage_in,84,4,47,13059.8454,13062.51217,2.66677,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_repair32,repair_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_repair32,repair_window,90:storage_in,90,0,47,13067.93782,13070,2.06218,3,0 6 8 11 14 46 36 38 39 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_repair32,repair_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_merge32,merge_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_merge32,merge_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_merge32,merge_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_merge32,merge_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_merge32,merge_window,84:storage_in,84,4,47,13059.8454,13062.51217,2.66677,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_merge32,merge_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_merge32,merge_window,90:storage_in,90,0,47,13067.93782,13070,2.06218,3,0 6 8 11 14 46 36 38 39 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_300s,legacy_offset64_merge32,merge_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_first32,no_fault,18:storage_in,18,0,47,10684.10647,10686.81115,2.70468,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_repair32,repair_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_repair32,repair_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_repair32,repair_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_repair32,repair_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_repair32,repair_window,84:storage_in,84,4,47,13059.8454,13062.51217,2.66677,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_repair32,repair_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_repair32,repair_window,90:storage_in,90,0,47,13067.93782,13070,2.06218,3,0 6 8 11 14 46 36 38 39 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_repair32,repair_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_merge32,merge_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_merge32,merge_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_merge32,merge_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_merge32,merge_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_merge32,merge_window,84:storage_in,84,4,47,13059.8454,13062.51217,2.66677,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_merge32,merge_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_merge32,merge_window,90:storage_in,90,0,47,13067.93782,13070,2.06218,3,0 6 8 11 14 46 36 38 39 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_max_delay_900s,legacy_offset64_merge32,merge_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_first32,no_fault,18:storage_in,18,0,47,10684.10647,10686.81115,2.70468,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_repair32,repair_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_repair32,repair_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_repair32,repair_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_repair32,repair_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_repair32,repair_window,84:storage_in,84,4,47,13059.8454,13062.51217,2.66677,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_repair32,repair_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_repair32,repair_window,90:storage_in,90,0,47,13067.93782,13070,2.06218,3,0 6 8 11 14 46 36 38 39 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_repair32,repair_window,95:storage_in,95,0,47,13078.60448,13080,1.39552,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_merge32,merge_window,66:storage_in,66,4,47,12477.43655,12478.58782,1.15127,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_merge32,merge_window,71:storage_in,71,4,47,12485.3062,12486.60448,1.29828,2,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_merge32,merge_window,72:storage_in,72,0,47,12486.60448,12489.43982,2.83534,3,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_merge32,merge_window,80:storage_in,80,0,47,13050.16178,13051.84528,1.6835,2,0 6 12 13 23 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_merge32,merge_window,84:storage_in,84,4,47,13059.8454,13062.51217,2.66677,4,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
java_retry_tick_5s_until_deadline,legacy_offset64_merge32,merge_window,89:storage_in,89,4,47,13067.84538,13069.4367,1.59132,3,4 17 18 22 24 27 28 47,,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied,WAIT_AT_SOURCE_RETRY
